|title|id|Action|Casual|Indie|Simulation|Strategy|Free to Play|RPG|Sports|Adventure|Racing|Early Access|Massively Multiplayer|Animation &amp; Modeling|Video Production|Utilities|Web Publishing|Education|Software Training|Design &amp; Illustration|Audio Production|Photo Editing|Accounting
88310|Lost Summoner Kitty|761140.0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88311|Ironbound|643980.0|0|0|1|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88312|Real Pool 3D - Poolians|670290.0|0|1|1|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88313|弹炸人2222|767400.0|1|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
88314|Log Challenge|773570.0|1|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88315|Battle Royale Trainer|772540.0|1|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
88316|SNOW - All Access Basic Pass|774276.0|0|0|1|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88317|SNOW - All Access Pro Pass|774277.0|0|0|1|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88318|SNOW - All Access Legend Pass|774278.0|0|0|1|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88319|Race|768800.0|0|1|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
88320|Uncanny Islands|768570.0|1|0|1|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
88321|Icarus Six Sixty Six|724910.0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88322|Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition|770380.0|1|1|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
88323|Beach Rules|768880.0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88324|Planetarium 2 - Zen Odyssey|765320.0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88325|The first thrust of God|773650.0|0|1|1|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
88326|SNOW - Starter Pack|774271.0|0|0|1|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88327|The first thrust of God - All Aircrafts|773690.0|0|1|1|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
88328|SNOW - Lifetime Pack|774279.0|0|0|1|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
88329|After Life VR|772590.0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
88330|Kitty Hawk|640250.0|1|1|1|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0
88331|The Warrior Of Treasures|768060.0|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
