|id|title|release_year|developer
88310|761140.0|Lost Summoner Kitty|2018|Kotoshiro
88311|643980.0|Ironbound|2018|Secret Level SRL
88312|670290.0|Real Pool 3D - Poolians|2017|Poolians.com
88313|767400.0|弹炸人2222|2017|彼岸领域
88314|773570.0|Log Challenge|2016|
88315|772540.0|Battle Royale Trainer|2018|Trickjump Games Ltd
88316|774276.0|SNOW - All Access Basic Pass|2018|Poppermost Productions
88317|774277.0|SNOW - All Access Pro Pass|2018|Poppermost Productions
88318|774278.0|SNOW - All Access Legend Pass|2018|Poppermost Productions
88319|768800.0|Race|2018|RewindApp
88320|768570.0|Uncanny Islands|2018|Qucheza
88321|724910.0|Icarus Six Sixty Six|2016|
88322|770380.0|Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition|2018|Stegalosaurus Game Development
88323|768880.0|Beach Rules|2018|Copperpick Studio
88324|765320.0|Planetarium 2 - Zen Odyssey|2018|Ghulam Jewel
88325|773650.0|The first thrust of God|2018|Apillo
88326|774271.0|SNOW - Starter Pack|2018|Poppermost Productions
88327|773690.0|The first thrust of God - All Aircrafts|2018|Apillo
88328|774279.0|SNOW - Lifetime Pack|2018|Poppermost Productions
88329|772590.0|After Life VR|2013|
88330|640250.0|Kitty Hawk|2017|
88331|768060.0|The Warrior Of Treasures|2018|Tero Lunkka
88332|711440.0|Mortars VR|2012|
88333|775880.0|RC Plane 3 - Canyon Scenario|2017|FrozenPepper
88334|775881.0|RC Plane 3 - F-53B|2017|FrozenPepper
88335|653960.0|DinoBlaster|2018|Casey Labrack
88336|777910.0|Robotpencil Presents: Understanding 3D for Concept|2018|
88337|282010.0|Carmageddon Max Pack|1997|Stainless Games Ltd
88338|70.0|Half-Life|1998|Valve
88339|752360.0|Fallen Mage|2016|dev4play
88340|594200.0|Don't Get Hit In The Face|2007|
88341|520680.0|Lost Cities|2018|BlueLine Games
88342|690410.0|Twisted Enhanced Edition|2018|Games by Brundle
88343|766850.0|Vaporwave Simulator|2018|ETGgames
88344|413120.0|Tactics Forever|2018|ProjectorGames
88345|773120.0|Christmas Santa Troubles|2017|Unknown Indie Devs
88346|680970.0|Kingdom Watcher|2016|
88347|754360.0|Underdone - Soundtrack|2018|The Commander
88348|716110.0|Bitcoin Clicker|2018|lalalaZero,Urbanoff
88349|1640.0|Disciples II: Gallean's Return|2006|Strategy First
88350|1630.0|Disciples II: Rise of the Elves|2006|Strategy First
88351|2400.0|The Ship: Murder Party|2006|Outerlight Ltd.
88352|662570.0|United Tactics|2014|Zachary M Thomas
88353|381620.0|Life of Rome|2017|Breakout Studio
88354|714020.0|Idle Adventure|2018|zha7,Phaedruns,Yingke Wu
88355|541930.0|Panoptic|2009|
88356|759920.0|Souland|2017|Ultraint
88357|659780.0|Darkness and a Crowd|2018|Seth Albertus
88358|603280.0|TAROTICA VOO DOO|2017|TPM.CO SOFT WORKS
88359|753110.0|Chronicles of Vinland|2017|Wonderbox Games
88360|753100.0|Orbitality|2017|Wonderbox Games
88361|769350.0|Medicalholodeck Personal Version|2016|
88362|764280.0|Atomic Adam: Episode 1|2017|Mad Unicorn Games
88363|374970.0|Golf Masters|2017|
88364|758550.0|Mirt. Tales of the Cold Land. Chapter 2|2017|Emanon Studios
88365|3800.0|Advent Rising|2005|GlyphX Games
88366|1520.0|DEFCON|2006|Introversion Software
88367|2420.0|The Ship: Single Player|2006|Outerlight Ltd.
88368|4000.0|Garry's Mod|2006|Facepunch Studios
88369|4230.0|RACE - The WTCC Game|2006|SimBin
88370|4900.0|Zen of Sudoku|2006|Unknown Worlds Entertainment
88371|2520.0|Gumboy - Crazy Adventures™|2006|CINEMAX, s.r.o.
88372|6200.0|Ghost Master®|2003|Sick Puppies
88373|6210.0|Vegas: Make It Big™|2006|Deepred
88374|6300.0|Dreamfall: The Longest Journey|2006|Funcom
88375|2990.0|FlatOut 2™|2006|Bugbear Entertainment
88376|6220.0|FlatOut|2005|Bugbear Entertainment
88377|6510.0|Lost Planet™: Extreme Condition|2007|CAPCOM Co., Ltd.
88378|3980.0|CivCity: Rome|2006|FireFly Studios,Firaxis Games
88379|1700.0|Arx Fatalis|2002|Arkane Studios
88380|6310.0|The Longest Journey|2000|Funcom
88381|3990.0|Civilization IV®: Warlords|2006|Firaxis Games
88382|7610.0|Railroad Tycoon 3|2003|PopTop
88383|7600.0|Sid Meier's Railroads!|2006|Firaxis Games,Feral Interactive (Mac)
88385|7620.0|Railroad Tycoon II Platinum|1998|PopTop
88386|2540.0|RIP - Trilogy™|2007|Elephant Games
88387|7650.0|X-COM: Terror From the Deep|1995|MicroProse Software, Inc
88388|8000.0|Tomb Raider: Anniversary|2007|Crystal Dynamics,Feral Interactive (Mac)
88389|6550.0|Devil May Cry® 3 Special Edition|2006|CAPCOM Co., Ltd.
88390|8200.0|Sam &amp; Max 101: Culture Shock|2006|Telltale Games
88391|2290.0|Final DOOM|1996|id Software
88392|2570.0|Vigil: Blood Bitterness™|2007|Freegamer
88393|8210.0|Sam &amp; Max 102: Situation: Comedy|2006|Telltale Games
88394|2280.0|Ultimate Doom|1995|id Software
88395|9160.0|Master Levels for Doom II|1995|id Software
88396|2300.0|DOOM II|1994|id Software
88397|2270.0|Wolfenstein 3D|1994|id Software
88398|9010.0|Return to Castle Wolfenstein|2001|Gray Matter Studios
88399|9040.0|QUAKE Mission Pack 1: Scourge of Armagon|1997|Ritual Entertainment
88400|9000.0|Spear of Destiny|1993|id Software
88401|3810.0|BloodRayne|2003|Terminal Reality
88402|9030.0|QUAKE Mission Pack 2: Dissolution of Eternity|2007|Rogue Entertainment
88403|2310.0|QUAKE|2007|id Software
88404|3230.0|Genesis Rising|2007|Metamorf
88405|9310.0|Warhammer® 40,000: Dawn of War® – Winter Assault|2006|Relic Entertainment
88406|7670.0|BioShock™|2007|2K Boston,2K Australia
88407|4570.0|Warhammer® 40,000: Dawn of War® - Game of the Year Edition|2006|Relic Entertainment
88408|4580.0|Warhammer® 40,000: Dawn of War® - Dark Crusade|2006|Relic Entertainment
