title|id|cluster|total_hours
Lost Summoner Kitty|761140.0|2|0.0
Ironbound|643980.0|8|0.0
Real Pool 3D - Poolians|670290.0|8|0.0
弹炸人2222|767400.0|2|0.0
Log Challenge|773570.0|2|0.0
Battle Royale Trainer|772540.0|2|0.0
SNOW - All Access Basic Pass|774276.0|2|0.0
SNOW - All Access Pro Pass|774277.0|2|0.0
SNOW - All Access Legend Pass|774278.0|2|0.0
Race|768800.0|2|0.0
Uncanny Islands|768570.0|2|0.0
Icarus Six Sixty Six|724910.0|2|0.0
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition|770380.0|2|0.0
Beach Rules|768880.0|2|0.0
Planetarium 2 - Zen Odyssey|765320.0|2|0.0
The first thrust of God|773650.0|2|0.0
SNOW - Starter Pack|774271.0|2|0.0
The first thrust of God - All Aircrafts|773690.0|2|0.0
SNOW - Lifetime Pack|774279.0|2|0.0
After Life VR|772590.0|2|0.0
Kitty Hawk|640250.0|8|0.0
The Warrior Of Treasures|768060.0|2|0.0
Mortars VR|711440.0|2|0.0
RC Plane 3 - Canyon Scenario|775880.0|2|0.0
RC Plane 3 - F-53B|775881.0|2|0.0
DinoBlaster|653960.0|8|0.0
Robotpencil Presents: Understanding 3D for Concept|777910.0|2|0.0
Carmageddon Max Pack|282010.0|1|1584.0
Half-Life|70.0|5|385471.0
Fallen Mage|752360.0|2|0.0
Don't Get Hit In The Face|594200.0|4|0.0
Lost Cities|520680.0|3|0.0
Twisted Enhanced Edition|690410.0|2|0.0
Vaporwave Simulator|766850.0|2|0.0
Tactics Forever|413120.0|0|0.0
Christmas Santa Troubles|773120.0|2|0.0
Kingdom Watcher|680970.0|2|0.0
Underdone - Soundtrack|754360.0|2|0.0
Bitcoin Clicker|716110.0|2|0.0
Disciples II: Gallean's Return|1640.0|5|3030.0
Disciples II: Rise of the Elves|1630.0|5|1326.0
The Ship: Murder Party|2400.0|5|192055.0
United Tactics|662570.0|8|0.0
Life of Rome|381620.0|0|0.0
Idle Adventure|714020.0|2|0.0
Panoptic|541930.0|3|0.0
Souland|759920.0|2|0.0
