|user_id|reviews_item_id|reviews_recommend|reviews_year|sa_compound|review_sentiment
0|76561197970982479|1250|True|2011|0.8481|1
1|76561197970982479|22200|True|2011|0.2263|0
2|76561197970982479|43110|True|2011|0.891|1
3|js41637|251610|True|2014|0.5532|1
4|js41637|227300|True|2013|0.955|1
5|js41637|239030|True|2013|0.7495|1
6|evcentric|248820|True|2016|0.3658|0
7|evcentric|370360|True|2015|0.6597|1
8|evcentric|237930|True|2014|0.4767|0
9|evcentric|263360|True|2014|-0.2732|-1
10|evcentric|107200|True|2014|0.6249|1
11|evcentric|224500|True|2014|0.5106|1
12|doctr|250320|True|2013|0.7848|1
13|doctr|20920|True|2012|0.9866|1
14|doctr|204100|True|2012|0.9694|1
15|doctr|224600|True|2014|0.7579|1
16|doctr|207610|True|2012|-0.6486|-1
17|doctr|108710|True|2012|0.9571|1
18|maplemage|211420|True|2014|0.0|0
19|maplemage|211820|True|2013|0.6597|1
20|maplemage|730|True|2014|0.2732|0
21|maplemage|204300|True|2013|0.9938|1
22|Wackky|249130|True|2014|0.0|0
23|Wackky|207610|True|2012|-0.6486|-1
24|Wackky|550|True|2012|0.5574|1
25|Wackky|65800|True|2012|0.3612|0
26|Wackky|220|True|2012|0.4749|0
27|76561198079601835|730|True|2016|0.0|0
28|MeaTCompany|730|True|2016|0.3182|0
29|76561198089393905|72850|True|2015|-0.8625|-1
30|76561198089393905|440|True|2014|0.0|0
31|76561198077246154|440|True|2016|0.0|0
32|76561198077246154|304930|True|2014|0.0|0
33|WeiEDKrSat|4000|True|2013|0.0|0
34|thequeenpanda|42910|True|2012|0.0|0
35|death-hunter|232090|True|2015|-0.0276|0
36|death-hunter|1250|True|2015|0.4215|0
37|death-hunter|4000|True|2014|0.7906|1
38|DJKamBer|304930|True|2014|0.9374|1
39|DJKamBer|570|True|2013|0.9124|1
40|DJKamBer|218620|True|2015|0.9477|1
41|DJKamBer|224260|True|2013|0.6013|1
42|DJKamBer|1250|True|2013|-0.4404|-1
43|DJKamBer|440|True|2012|0.1877|0
44|Rainbow-Dashie|730|True|2015|0.7351|1
45|Rainbow-Dashie|440|True|2014|0.4404|0
46|Rainbow-Dashie|49520|True|2014|0.0|0
47|76561198043472122|33440|False|2014|0.0|0
48|MarbleShrine|220200|True|2015|0.9851|1
49|PPanther|211820|True|2014|0.9805|1
50|devvonst|440|True|2014|0.6369|1
51|devvonst|218740|True|2014|0.2732|0
52|devvonst|550|True|2015|0.6249|1
53|Fr0stedLine|220|True|2016|0.0|0
54|starkillershadow553|238090|True|2015|0.6098|1
55|starkillershadow553|242130|True|2016|-0.3612|-1
56|starkillershadow553|277430|True|2014|0.9257|1
57|76561198058373434|8870|True|2015|0.34|0
58|76561198048353577|368230|True|2015|-0.4939|-1
59|76561198048353577|4000|True|2016|-0.743|-1
60|76561198048353577|33930|True|2013|0.9305|1
61|76561198066046412|359320|False|2015|-0.4767|-1
62|76561198066046412|219640|True|2015|0.6369|1
63|tru_mu_|287980|True|2015|0.8689|1
64|76561198070565427|218620|True|2016|0.0|0
65|76561198070565427|208090|True|2015|0.2732|0
66|76561198070565427|242700|True|2014|0.0|0
67|76561198070565427|570|False|2014|0.0|0
68|76561198070565427|224260|True|2014|0.0|0
69|SavageEeEe|221100|True|2015|0.9231|1
70|76561198076909484|570|True|2014|0.2732|0
71|KanadeTheNeko|331470|True|2014|0.9432|1
72|KanadeTheNeko|4000|True|2014|0.3612|0
73|Leaf_Light_Moscow|323370|True|2016|0.5859|1
74|GoAwayZach|304930|True|2014|0.926|1
75|76561198054540475|12210|True|2015|-0.7889|-1
76|76561198054540475|265210|True|2014|0.0|0
77|76561198054540475|48700|True|2014|0.7351|1
78|76561198085547365|238460|True|2016|0.4939|0
79|76561198085547365|34900|True|2016|0.0258|0
80|76561198061252210|730|True|2015|0.9399|1
81|OfficialShroomsy|113200|True|2013|0.8402|1
82|boydeer|440|True|2014|0.0|0
83|boydeer|383080|False|2015|0.0|0
84|VVillis|213670|True|2015|0.0|0
85|76561198083226897|105600|True|2015|0.1263|0
86|76561198075277292|730|True|2015|-0.34|-1
87|76561198075277292|570|True|2015|0.8413|1
88|76561198028895010|231180|True|2013|0.509|1
89|76561198028895010|620|True|2012|-0.2755|-1
90|76561198170198366|271290|True|2016|0.765|1
91|diego9031|4000|True|2016|0.0|0
92|diego9031|317360|True|2016|0.0|0
93|diego9031|223710|True|2015|0.0|0
94|diego9031|299360|True|2015|0.0|0
95|diego9031|322330|True|2015|0.0|0
96|diego9031|1250|True|2015|0.0|0
97|diego9031|12100|True|2015|0.0|0
98|diego9031|204360|True|2015|0.3182|0
99|diego9031|440|True|2013|0.0|0
100|diego9031|224260|True|2013|0.3182|0
101|jarrodtrim|440|True|2012|0.8519|1
102|76561198078738103|304930|True|2016|0.8467|1
103|76561198067936203|440|True|2015|0.8707|1
104|76561198079770573|1840|True|2015|0.0|0
105|76561198087586464|440|True|2013|0.765|1
106|Derp-e|440|True|2015|0.9662|1
107|76561198070194565|233250|True|2014|0.0|0
108|76561198070194565|449140|True|2016|0.0|0
109|76561198070194565|368730|True|2016|0.0|0
110|76561198070194565|246280|True|2016|0.0|0
111|76561198070194565|427270|True|2016|0.0|0
112|76561198070194565|397100|True|2016|0.0|0
113|76561198070194565|248570|True|2015|0.0|0
114|UTNerd24|244210|True|2014|0.8543|1
115|UTNerd24|440|True|2015|0.0|0
116|UTNerd24|376920|True|2015|0.9545|1
117|UTNerd24|257750|True|2015|0.3612|0
118|UTNerd24|221910|True|2014|0.0|0
119|UTNerd24|2280|True|2013|-0.3204|-1
120|sandwiches1|417860|False|2015|0.0|0
121|76561198138053270|218620|True|2014|0.6249|1
122|lucaswerg|218620|True|2014|0.8176|1
123|lucaswerg|222880|True|2014|0.0|0
124|Life-Of-Blu|377160|True|2015|0.6369|1
125|Life-Of-Blu|211820|True|2013|0.8689|1
